timestamp,node_id,x,y,temperature,humidity,pressure,gateway,network,delay_ms,status
2026-05-23 16:00:51,Node_A,0,0,7.92,58.38,1009.5,Gateway_1,Mesh,52,Received
2026-05-23 16:00:51,Node_B,10,0,10.04,65.05,1009.47,Gateway_1,Mesh,103,Received
2026-05-23 16:00:51,Node_C,0,10,12.02,59.96,1009.8,Gateway_1,Mesh,85,Received
2026-05-23 16:00:51,Node_D,10,10,13.31,61.15,1009.81,Gateway_1,Mesh,104,Received
2026-05-23 16:00:57,Node_A,0,0,7.66,60.23,1009.34,Gateway_1,Mesh,109,Received
2026-05-23 16:00:57,Node_B,10,0,10.31,60.95,1009.63,Gateway_1,Mesh,179,Received
2026-05-23 16:00:57,Node_C,0,10,13.01,61.21,1009.24,Gateway_1,Mesh,124,Received
2026-05-23 16:00:57,Node_D,10,10,13.35,61.48,1009.75,Gateway_1,Mesh,169,Received
2026-05-23 16:01:02,Node_A,0,0,8.27,57.26,1008.97,Gateway_1,Mesh,54,Received
2026-05-23 16:01:02,Node_B,10,0,10.6,56.9,1009.56,Gateway_1,Mesh,174,Received
2026-05-23 16:01:02,Node_C,0,10,11.34,60.57,1009.17,Gateway_1,Mesh,90,Received
2026-05-23 16:01:02,Node_D,10,10,13.73,58.67,1009.32,Gateway_1,Mesh,88,Received
2026-05-23 16:01:07,Node_A,0,0,7.77,57.65,1009.29,Gateway_1,Mesh,115,Received
2026-05-23 16:01:07,Node_B,10,0,9.32,59.61,1009.29,Gateway_1,Mesh,169,Received
2026-05-23 16:01:07,Node_C,0,10,12.07,58.99,1009.53,Gateway_1,Mesh,78,Received
2026-05-23 16:01:07,Node_D,10,10,13.18,60.42,1009.71,Gateway_1,Mesh,173,Received
2026-05-23 16:01:12,Node_A,0,0,,,,Gateway_1,Mesh,62,Lost
2026-05-23 16:01:12,Node_B,10,0,10.02,59.15,1009.52,Gateway_1,Mesh,126,Received
2026-05-23 16:01:12,Node_C,0,10,11.76,61.31,1008.81,Gateway_1,Mesh,37,Received
2026-05-23 16:01:12,Node_D,10,10,14.2,61.04,1009.67,Gateway_1,Mesh,62,Received
2026-05-23 16:01:17,Node_A,0,0,8.09,61.7,1009.16,Gateway_1,Mesh,176,Received
2026-05-23 16:01:17,Node_B,10,0,9.8,59.85,1009.61,Gateway_1,Mesh,127,Received
2026-05-23 16:01:17,Node_C,0,10,12.09,61.07,1009.97,Gateway_1,Mesh,169,Received
2026-05-23 16:01:17,Node_D,10,10,13.54,59.21,1009.33,Gateway_1,Mesh,164,Received
2026-05-23 16:01:22,Node_A,0,0,7.04,62.43,1009.74,Gateway_1,Mesh,126,Received
2026-05-23 16:01:22,Node_B,10,0,10.01,61.37,1009.7,Gateway_1,Mesh,47,Received
2026-05-23 16:01:22,Node_C,0,10,,,,Gateway_1,Mesh,146,Lost
2026-05-23 16:01:22,Node_D,10,10,14.08,64.25,1009.04,Gateway_1,Mesh,156,Received
2026-05-23 16:01:27,Node_A,0,0,7.85,59.63,1009.58,Gateway_1,Mesh,32,Received
2026-05-23 16:01:27,Node_B,10,0,9.67,60.17,1009.78,Gateway_1,Mesh,169,Received
2026-05-23 16:01:27,Node_C,0,10,11.92,63.21,1009.44,Gateway_1,Mesh,60,Received
