timestamp,node_id,x,y,temperature,humidity,pressure,gateway,network,delay_ms,status,temperature_smooth,humidity_smooth,pressure_smooth,frost_status
2026-05-23 16:00:51,Node_A,0,0,7.92,58.38,1009.5,Gateway_1,Mesh,52,Received,7.92,58.38,1009.5,Normal
2026-05-23 16:00:57,Node_A,0,0,7.66,60.23,1009.34,Gateway_1,Mesh,109,Received,7.79,59.305,1009.4200000000001,Normal
2026-05-23 16:01:02,Node_A,0,0,8.27,57.26,1008.97,Gateway_1,Mesh,54,Received,7.95,58.623333333333335,1009.27,Normal
2026-05-23 16:01:07,Node_A,0,0,7.77,57.65,1009.29,Gateway_1,Mesh,115,Received,7.904999999999999,58.379999999999995,1009.275,Normal
2026-05-23 16:01:17,Node_A,0,0,8.09,61.7,1009.16,Gateway_1,Mesh,176,Received,7.942,59.044000000000004,1009.2520000000001,Normal
2026-05-23 16:01:22,Node_A,0,0,7.04,62.43,1009.74,Gateway_1,Mesh,126,Received,7.766,59.854,1009.3,Normal
2026-05-23 16:01:27,Node_A,0,0,7.85,59.63,1009.58,Gateway_1,Mesh,32,Received,7.804,59.733999999999995,1009.348,Normal
2026-05-23 16:01:32,Node_A,0,0,8.38,60.95,1008.84,Gateway_1,Mesh,54,Received,7.825999999999999,60.472,1009.3220000000001,Normal
2026-05-23 16:01:37,Node_A,0,0,7.59,59.77,1010.19,Gateway_1,Mesh,41,Received,7.790000000000001,60.896,1009.5020000000001,Normal
2026-05-23 16:01:42,Node_A,0,0,8.28,60.93,1009.83,Gateway_1,Mesh,79,Received,7.828,60.742000000000004,1009.6360000000001,Normal
2026-05-23 16:01:47,Node_A,0,0,8.16,61.27,1009.69,Gateway_1,Mesh,160,Received,8.052,60.510000000000005,1009.626,Normal
2026-05-23 16:01:52,Node_A,0,0,7.73,61.19,1009.68,Gateway_1,Mesh,143,Received,8.028,60.822,1009.6460000000001,Normal
2026-05-23 16:01:57,Node_A,0,0,7.88,61.27,1009.36,Gateway_1,Mesh,123,Received,7.928,60.886,1009.75,Normal
2026-05-23 16:02:02,Node_A,0,0,7.68,56.79,1009.39,Gateway_1,Mesh,103,Received,7.946,60.29,1009.5899999999999,Normal
2026-05-23 16:02:07,Node_A,0,0,8.05,60.32,1009.25,Gateway_1,Mesh,73,Received,7.9,60.168000000000006,1009.4739999999999,Normal
2026-05-23 16:02:12,Node_A,0,0,8.0,60.94,1009.71,Gateway_1,Mesh,70,Received,7.868,60.102,1009.4780000000001,Normal
2026-05-23 16:02:17,Node_A,0,0,7.48,59.28,1009.63,Gateway_1,Mesh,37,Received,7.8180000000000005,59.720000000000006,1009.4680000000001,Normal
2026-05-23 16:02:22,Node_A,0,0,8.16,58.62,1009.5,Gateway_1,Mesh,151,Received,7.8740000000000006,59.19,1009.4960000000001,Normal
2026-05-23 16:02:27,Node_A,0,0,8.65,58.64,1009.46,Gateway_1,Mesh,139,Received,8.068000000000001,59.56,1009.51,Normal
2026-05-23 16:02:32,Node_A,0,0,7.77,58.04,1009.22,Gateway_1,Mesh,54,Received,8.012,59.104,1009.5039999999999,Normal
2026-05-23 16:02:37,Node_A,0,0,8.53,58.91,1009.39,Gateway_1,Mesh,146,Received,8.118,58.698,1009.4399999999999,Normal
2026-05-23 16:02:42,Node_A,0,0,8.27,62.21,1009.22,Gateway_1,Mesh,70,Received,8.276,59.284000000000006,1009.358,Normal
